,Номер реестровой записи контракта,Заказчик: ИНН,Предмет контракта,Цена контракта,"Информация о поставщиках (исполнителях, подрядчиках) по контракту: ИНН",Заказчик: широта,Заказчик: долгота,Заказчик: населенный пункт,Заказчик: деятельность,Исполнитель: широта,Исполнитель: долгота,Исполнитель: населенный пункт,Исполнитель: деятельность
10,2362402490724000019,3624024907,2023-16529/ Поставка продуктов питания (Майонезный соус),"5 910,30",3661082978,50.4438218,39.530401,Опыт,Деятельность по уходу за престарелыми и инвалидами с обеспечением проживания,51.7144836,39.293267,Воронеж,"Торговля оптовая консервированными овощами, фруктами и орехами"
11,2366603128623000291,3666031286,2023-11367//.Поставка лекарственного препарата для медицинского применения дабигатрана этексилат,"9 951,45",5044114526,51.678236,39.2134163,Воронеж,Общая врачебная практика,55.97603,37.30654,Химки,Торговля оптовая фармацевтической продукцией
12,2025800208023000242,258002080,Оказание услуг по организации горячего питания для стационарных больных ГБУЗ РБ Благовещенская ЦРБ на 1 полугодие 2024 год,"3 059 100,00",1840004884,55.047982,55.94617,Благовещенск,Деятельность больничных организаций,55.0289154,56.0173669,Благовещенск,Деятельность предприятий общественного питания по прочим видам организации питания
13,3732200391523000006,7322003915,учебная литература,"247 267,35",7715995942,54.6608021,47.7420189,Старые Алгаши,Образование среднее общее,55.7785461,37.6076431,Москва,"Издание книг, брошюр, рекламных буклетов и аналогичных изданий, включая издание словарей и энциклопедий, в том числе для слепых, в печатном виде"
14,2781107085124000197,7811070851,Поставка посудомоечных машин,"461 609,35",5507238698,59.8802374,30.4652923,Санкт-Петербург,Деятельность больничных организаций,54.9367737,73.3903372,Омск,"Торговля оптовая молочными продуктами, яйцами и пищевыми маслами и жирами"
15,2860200160924000036,8602001609,Поставка расходного стоматологического материала,"101 231,46",7204157330,61.2571223,73.3732146,Сургут,Стоматологическая практика,57.1292329,65.5011538,Тюмень,Торговля оптовая фармацевтической продукцией
16,1772800895324000050,7728008953,Поставка набора лабораторных реагентов для выделения ДНК,"902 403,92",7729012173,55.6528632,37.4933951,Москва,Научные исследования и разработки в области естественных и технических наук прочие,55.7030073,37.5160117,Москва,Торговля оптовая фармацевтической продукцией
17,3232901962624000011,2329019626,Поставка искусственных дорожных неровностей,"35 693,51",230205675190,45.3884012,40.5814179,Красносельский,Деятельность органов местного самоуправления по управлению вопросами общего характера,45.0012149,41.1324168,Армавир,Торговля оптовая бумагой и картоном
18,2391751525324000422,3917515253,на поставку лекарственных препаратов для медицинского применения (МНН: Капецитабин) для обеспечения льготных категорий граждан,"3 125 116,80",1660049999,54.6449229,20.3351413,Калининград,"Деятельность в области медицины прочая, не включенная в другие группировки",55.7367155,49.1421535,Казань,Торговля оптовая фармацевтической продукцией
19,2773204454523000322,7732044545,Аукцион в электронной форме на право заключения гражданско-правового договора: на оказание услуг по техническому обслуживанию лифтового оборудования для обеспечения потребностей ГБУЗ «Городская клиническая больница № 17 ДЗМ» в I квартале 2024 года.,"281 244,08",7720463654,55.6411982,37.4116277,Москва,Деятельность больничных организаций,55.742919,37.8009318,Москва,Производство прочих строительно-монтажных работ
20,1202000017919000174,2020001126,Оказание услуг по предоставлению телефонной связи,"325 992,00",2014016741,43.3222959,45.6968455,Грозный,Деятельность в области обязательного социального обеспечения,43.3180145,45.698291,Грозный,Деятельность в области связи на базе проводных технологий
21,2262506830224000116,2625068302,Поставка лекарственного препарата  для медицинского применения для обеспечения мер социальной поддержки детям в возрасте до 3-х лет,"453 488,00",2634089556,44.1264398,43.4594325,Георгиевск,Деятельность больничных организаций,45.0479316,41.9926565,Ставрополь,Торговля оптовая фармацевтической продукцией
22,1682600552524000037,6826005525,"Контейнер с крышкой 750 мл, р-р 179-132","85 000,00",682601795070,53.4404927,41.8439073,Моршанск,"Деятельность по управлению и эксплуатации тюрем, исправительных колоний и других мест лишения свободы, а также по оказанию реабилитационной помощи бывшим заключенным",53.4436216,41.8115478,Моршанск,Торговля оптовая неспециализированная
23,3232901962624000008,2329019626,Выполнение работ по нанесению линии разметки на дорожное покрытие автомобильных дорог,"596 458,66",232902388686,45.3884012,40.5814179,Красносельский,Деятельность органов местного самоуправления по управлению вопросами общего характера,45.3605121,40.6918389,Гулькевичи,"Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки"
24,2860200160924000022,8602001609,Поставка расходного стоматологического материала (каналонаполнитель эндодонтический),"27 300,00",6671092466,61.2571223,73.3732146,Сургут,Стоматологическая практика,56.815533,60.589497,Екатеринбург,"Деятельность агентов, специализирующихся на оптовой торговле фармацевтической продукцией, изделиями, применяемыми в медицинских целях, парфюмерными и косметическими товарами, включая мыло, и чистящими средствами"
25,2770584037921000055,7705840379,"Осуществление технологического присоединения к централизованной системе холодного водоснабжения по адресу: г. Москва, территория в пойме реки Чермянки вдоль Юрловского проезда до улицы Молодцова","25 679 600,95",7701984274,55.733461,37.6252781,Москва,Деятельность органов государственной власти субъектов Российской Федерации по осуществлению своих полномочий в городах и районах,55.7714101,37.6743773,Москва,"Забор, очистка и распределение воды"
26,1180870044624000007,1808700446,Поставка насоса,"57 360,00",7727309901,56.9160261,53.3227573,Хохряки,"Деятельность по управлению и эксплуатации тюрем, исправительных колоний и других мест лишения свободы, а также по оказанию реабилитационной помощи бывшим заключенным",55.1705569,37.4691805,Чехов,Торговля оптовая прочими машинами и оборудованием
27,2366603128624000143,3666031286,Поставка лекарственного препарата для медицинского применения левофлоксацин,"3 226,40",3662135238,51.678236,39.2134163,Воронеж,Общая врачебная практика,51.6860422,39.1975953,Воронеж,Торговля оптовая фармацевтической продукцией
28,1301508168924000171,3015081689,Поставка расходных материалов для рентгенэндоваскулярной хирургии,"6 856 000,00",1001344359,46.350721,48.097581,Астрахань,Деятельность больничных организаций,61.8077407,34.3356031,Петрозаводск,Торговля оптовая фармацевтической продукцией
29,2391751525324000015,3917515253,на поставку лекарственных препаратов для медицинского применения (МНН: Бисопролол),"131 480,82",2636801680,54.6449229,20.3351413,Калининград,"Деятельность в области медицины прочая, не включенная в другие группировки",55.765347,37.8774098,Реутов,Торговля оптовая фармацевтической продукцией
30,2623000909424000002,6230009094,Поставка салфеток антисептических,"34 566,30",6234118224,54.6132758,39.7467595,Рязань,"Деятельность в области медицины прочая, не включенная в другие группировки",54.6299182,39.7196391,Рязань,Торговля оптовая фармацевтической продукцией
31,2262506830224000152,2625068302,Поставка экспериментально-психологических методик для оснащения кабинета врача психиатра,"45 000,00",772803732256,44.1264398,43.4594325,Георгиевск,Деятельность больничных организаций,55.3135694,37.1853055,Москва,Торговля розничная книгами в специализированных магазинах
32,3636800083423000050,6368000834,"Поставка продуктов питания (молочная продукция - сыры) для нужд Государственного бюджетного учреждения здравоохранения Самарской области ""Елховская центральная районная больница""","77 558,00",6345030053,53.872723,50.2797939,Елховка,Деятельность больничных организаций,53.4044156,49.4920368,Жигулевск,Торговля оптовая фруктами и овощами
33,3672201198023000002,6722011980,Оказание услуг по обращению с твердыми коммунальными отходами,"24 111,82",6731069440,55.2136646,34.299756,Вязьма,Образование среднее общее,54.7703866,32.040885,Смоленск,Сбор неопасных отходов
34,2781021452524000009,7810214525,Поставка государственной символики Российской Федерации (лот 1) в 2024 году,"73 000,00",6450081970,59.8484501,30.3058053,Санкт-Петербург,Образование начальное общее,51.5376287,46.0440108,Саратов,Деятельность рекламных агентств
35,3482600121324000033,4826001213,поставка оборудования и комплектующих для компьютерной техники (мониторы),"654 959,50",9718054591,52.604139,39.593659,Липецк,Деятельность органов местного самоуправления по управлению вопросами общего характера,55.7064108,37.5962886,Москва,"Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением"
36,2702102165323000593,7021021653,Поставка лекарственного препарата для медицинского применения группы Ипраглифлозин,"927 160,80",9701065838,56.4655814,84.9726738,Томск,"Деятельность органов государственной власти субъектов Российской Федерации (республик, краев, областей), кроме судебной власти, представительств исполнительных органов государственной власти субъектов Российской Федерации при Президенте Российской Федерации",55.7809052,37.6975661,Москва,Торговля оптовая фармацевтической продукцией
37,2773509683024000016,7735096830,Поставка хозяйственных товаров и инвентаря (бюджет 2024 г.),"118 569,83",7709848080,55.975536,37.153332,Зеленоград,Образование среднее общее,55.7738752,37.5279714,Москва,Торговля оптовая чистящими средствами
38,2860200160924000048,8602001609,Поставка медицинского инструмента (шприц для дентальной анестезии),"145 000,00",6660123793,61.2571223,73.3732146,Сургут,Стоматологическая практика,56.8464655,60.6215073,Екатеринбург,Торговля оптовая фармацевтической продукцией
39,2781107085124000179,7811070851,Поставка лекарственных препаратов,"42 339,00",7810687137,59.8802374,30.4652923,Санкт-Петербург,Деятельность больничных организаций,60.027134,30.273611,Санкт-Петербург,Торговля оптовая фармацевтической продукцией
40,3240300601623000002,2403006016,Поставка тепловой энергии,"1 774 998,06",2460087269,55.5070352,91.1213806,Ровное,Образование среднее общее,56.0139241,92.8913429,Красноярск,Передача электроэнергии и технологическое присоединение к распределительным электросетям
41,3262301217423000002,2623012174,газоснабжение,"471 509,14",2635048440,45.1316921,41.9441734,Верхнерусское,Образование среднее общее,45.0188009,41.93345,Ставрополь,"Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами"
42,2784230142823000075,7842301428,"Выполнение работ по ремонту помещений первого этажа в здании Санкт-Петербургского государственного бюджетного учреждения социального обслуживания населения «Комплексный центр социального обслуживания населения Центрального района Санкт-Петербурга» по адресу: г. Санкт-Петербург, ул. Кременчугская., д. 25, лит. А","9 863 894,30",7810732252,59.9339122,30.3782588,Санкт-Петербург,Предоставление социальных услуг без обеспечения проживания престарелым и инвалидам,59.9619187,30.3291336,Санкт-Петербург,Строительство жилых и нежилых зданий
43,1745304082224000007,7453040822,"Поставка в 2024 году кресел-колясок с ручным приводом для лиц с большим весом комнатных и прогулочных в целях социального обеспечения лиц, проживающих на территории Челябинской области","896 000,00",3665823472,55.162422,61.412013,Челябинск,Деятельность в области обязательного социального обеспечения,51.649613,39.1238357,Воронеж,Торговля оптовая фармацевтической продукцией
44,2391751525324000019,3917515253,на поставку лекарственных препаратов для медицинского применения (МНН: Индапамид),"102 022,74",2636801680,54.6449229,20.3351413,Калининград,"Деятельность в области медицины прочая, не включенная в другие группировки",55.765347,37.8774098,Реутов,Торговля оптовая фармацевтической продукцией
45,2246300420722000267,2463004207,"ЭА-№-15071/22 « ""На право поставки лекарственных препаратов (ТИОКТОВАЯ КИСЛОТА) для нужд КГБУЗ «Красноярский краевой госпиталь для ветеранов войн» на 2022-2023 гг.""","550 000,00",273935941,56.0206633,92.7659367,Красноярск,Деятельность больничных организаций,54.798847,56.110911,Уфа,Торговля оптовая фармацевтической продукцией
46,2246300420723000051,2463004207,"ЭА 28/23 ""На право поставки лекарственных препаратов (МЕЛОКСИКАМ) для нужд КГБУЗ «Красноярский краевой госпиталь для ветеранов войн» на 2023 г.""","22 957,20",2466189073,56.0206633,92.7659367,Красноярск,Деятельность больничных организаций,56.0115553,92.8648632,Красноярск,Торговля розничная лекарственными средствами в специализированных магазинах (аптеках)
47,2593800061123000087,5938000611,"ПРИОБРЕТЕНИЕ ОБОРУДОВАНИЯ ДЛЯ  ОКАЗАНИЯ МЕДИЦИНСКОЙ ПОМОЩИ ГБУЗ ПК ""Кишертская ЦРБ""","50 136,67",5905271824,57.3737417,57.2431532,Усть-Кишерть,Деятельность больничных организаций,57.9838233,56.2193479,Пермь,"Торговля оптовая изделиями, применяемыми в медицинских целях"
48,2263524419423002968,2635244194,Оказание услуг по предоставлению неисключительных (пользовательских) прав (лицензий) на использование программного обеспечения «1С: Комплект поддержки»,"411 930,00",2635086621,45.051857,41.913568,Ставрополь,Деятельность по эксплуатации автомобильных дорог и автомагистралей,45.0353122,41.9699113,Ставрополь,Разработка компьютерного программного обеспечения
49,1720401364223000234,7204013642,"Разработка проектно-сметной документации по объекту: «Капитальный ремонт участков тепловой сети от тепловой камеры ТК-2 до тепловой камеры ТК-11, от тепловой камеры ТК-3а до здания Лечебного корпуса, от тепловой камеры ТК-5 до точки врезки, от тепловой камеры ТК-4 до здания Спального корпуса»","622 550,78",7202180969,57.0054246,65.4124316,Тюмень,Деятельность санаторно-курортных организаций,57.1580503,65.5338655,Тюмень,"Деятельность в области архитектуры, инженерных изысканий и предоставление технических консультаций в этих областях"
50,2352829765124000079,3528297651,Оказание услуг по восстановлению работоспособности Видеогастроскопа (SonoScape EG-330),"119 500,00",7804548784,59.1216959,37.8875765,Череповец,Деятельность больничных организаций,59.971749,30.360811,Санкт-Петербург,Ремонт электронного и оптического оборудования
51,2590431036524000122,5904310365,"Закупка товара у единственного поставщика на сумму, предусмотренную частью 12 статьи 93 Закона № 44-ФЗ","61 000,00",3906392360,58.0041258,56.2448504,Пермь,Деятельность больничных организаций,54.6716104,20.4741073,Калининград,"Торговля оптовая техникой, оборудованием и инструментами, применяемыми в медицинских целях"
52,2593800061123000079,5938000611,"ПОСТАВКА РАСХОДНЫХ МАТЕРИАЛОВ (РЕАКТИВЫ ) ДЛЯ КДЛ ГБУЗ ПК ""КИШЕРТСКАЯ ЦРБ""","78 581,55",5904312891,57.3737417,57.2431532,Усть-Кишерть,Деятельность больничных организаций,57.996406,56.266939,Пермь,"Торговля оптовая изделиями, применяемыми в медицинских целях"
53,3540506945824000036,5405069458,Поставка стеллажей,"99 618,72",7203388335,55.0540569,82.9682946,Новосибирск,Предоставление социальных услуг без обеспечения проживания престарелым и инвалидам,57.148797,65.5301031,Тюмень,"Торговля оптовая мебелью, коврами и осветительным оборудованием"
54,2782700193424000040,7827001934,Поставка рабочих тетрадей и прописей в 2024 году,"250 862,20",7811746138,60.202936,29.6035669,Санкт-Петербург,Деятельность санаторно-курортных организаций,59.882622,30.427295,Санкт-Петербург,Торговля оптовая прочими бытовыми товарами
55,3480300969623000010,4803009696,Оказание охранных услуг,"482 550,96",4825038531,53.252595,39.1518653,Данков,Образование среднее общее,52.6058181,39.5779207,Липецк,"Деятельность охранных служб, в том числе частных"
56,2246300420723000055,2463004207,"ЭА 23/23 ""На право поставки лекарственных препаратов (ПЕНТОКСИФИЛЛИН) для нужд КГБУЗ «Красноярский краевой госпиталь для ветеранов войн» на 2023 г. – 2024 г.""","89 650,00",7724922443,56.0206633,92.7659367,Красноярск,Деятельность больничных организаций,55.6590796,37.6372535,Москва,Торговля оптовая фармацевтической продукцией
57,2246300420723000116,2463004207,"ЭА 70/23 ""На право поставки лекарственных препаратов (ИНДАПАМИД) для нужд КГБУЗ «Красноярский краевой госпиталь для ветеранов войн» на 2023 г. ""","51 300,00",7724922443,56.0206633,92.7659367,Красноярск,Деятельность больничных организаций,55.6590796,37.6372535,Москва,Торговля оптовая фармацевтической продукцией
58,1745304082223000389,7453040822,Поставка по территории Челябинской области в 2024 году кресел-колясок с ручным приводом для управления одной рукой комнатных и прогулочных,"1 858 450,00",6321264550,55.162422,61.412013,Челябинск,Деятельность в области обязательного социального обеспечения,53.580049,49.2833553,Тольятти,Производство инвалидных колясок
59,3025700812124000011,257008121,Книги,"84 453,75",7719633799,55.4114704,55.5624005,Бирск,Деятельность библиотек и архивов,55.721725,37.6312775,Москва,Издание книг
60,2890401811924000048,8904018119,Поставка расходных материалов для биохимического анализатора,"45 128,16",7203462490,66.0804287,76.6577208,Новый Уренгой,Деятельность больничных организаций,57.1619325,65.5199019,Тюмень,"Торговля оптовая изделиями, применяемыми в медицинских целях"
61,2745313582724000248,7453135827,"Поставка Тест-полосок для определения содержания глюкозы в крови для оказания отдельным категориям граждан социальной услуги по обеспечению лекарственными препаратами для медицинского применения по рецептам на лекарственные препараты, медицинскими изделиями по рецептам на медицинские изделия, а также специализированными продуктами лечебного питания для детей-инвалидов за счет средств областного бюджета","474 759,00",7731241639,55.1622347,61.4010919,Челябинск,"Деятельность органов государственной власти субъектов Российской Федерации (республик, краев, областей), кроме судебной власти, представительств исполнительных органов государственной власти субъектов Российской Федерации при Президенте Российской Федерации",55.593797,37.745277,Видное,Торговля оптовая фармацевтической продукцией
62,2010400090423000006,104000904,Поставка технических средств реабилитации (совместный электронный аукцион),"587 038,48",2225135709,44.5074211,40.177448,Тульский,Предоставление социальных услуг без обеспечения проживания престарелым и инвалидам,53.33892,83.770004,Барнаул,"Деятельность агентов, специализирующихся на оптовой торговле техникой, оборудованием и инструментами, применяемыми в медицинских целях"
63,2027403310324000179,274033103,Поставка медицинских изделий (фетр медицинский),"1 542 450,00",5837005613,54.7111861,56.0019701,Уфа,Деятельность больничных организаций,53.124821,45.0224353,Пенза,Производство инструмента
64,1391800870724000009,3918008707,Двери и пиломатериалы для благоустройства питомника служебного собаководства,"33 426,77",390404985180,54.8007114,20.3049386,Колосовка,"Деятельность по управлению и эксплуатации тюрем, исправительных колоний и других мест лишения свободы, а также по оказанию реабилитационной помощи бывшим заключенным",54.7074702,20.5073241,Калининград,Торговля оптовая одеждой и обувью
65,2782671787724000004,7826717877,Поставка учебно-демонстрационного оборудования для кабинета ОБЖ,"481 593,80",7813448673,59.9390383,30.3083488,Санкт-Петербург,Образование основное общее,60.004888,30.200668,Санкт-Петербург,Торговля оптовая непродовольственными потребительскими товарами
66,1770707953724000022,7707079537,"Изготовление и поставка головных уборов к спектаклю ""Питер Пэн""","2 216 000,00",780500859619,55.7603192,37.6186263,Москва,Деятельность в области исполнительских искусств,55.7540471,37.620405,Москва,Производство головных уборов
67,2702102165323000678,7021021653,Поставка лекарственного препарата для медицинского применения группы Дапаглифлозин,"8 480 340,00",2310212094,56.4655814,84.9726738,Томск,"Деятельность органов государственной власти субъектов Российской Федерации (республик, краев, областей), кроме судебной власти, представительств исполнительных органов государственной власти субъектов Российской Федерации при Президенте Российской Федерации",45.0444101,38.9818554,Краснодар,Торговля оптовая фармацевтической продукцией
68,2772976068323000098,7729760683,Выполнение работ по ремонту полов подземного паркинга,"20 623 906,00",5034054388,55.6955825,37.5043251,Москва,Управление эксплуатацией жилого фонда за вознаграждение или на договорной основе,55.8041877,38.9884117,Орехово-Зуево,Строительство жилых и нежилых зданий
69,2027403310324000169,274033103,Поставка медицинских изделий (протез кровеносного сосуда),"739 900,00",645407112767,54.7111861,56.0019701,Уфа,Деятельность больничных организаций,55.8317203,37.3295266,Красногорск,Торговля оптовая фармацевтической продукцией
70,3532103569224000006,5321035692,"Приобретение жилого помещения, для предоставления гражданину, относящемуся к категории детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей","2 679 600,00",5321078745,58.5163701,31.2686679,Великий Новгород,Деятельность органов местного самоуправления по управлению вопросами общего характера,58.5463878,31.2710241,Великий Новгород,Строительство жилых и нежилых зданий
71,1180870044624000015,1808700446,Поставка блоков оконных пластиковых в рамках капитального ремонта здания ШИЗО литер Л,"139 000,00",182001068626,56.9160261,53.3227573,Хохряки,"Деятельность по управлению и эксплуатации тюрем, исправительных колоний и других мест лишения свободы, а также по оказанию реабилитационной помощи бывшим заключенным",57.0306262,51.3668314,Балма,"Производство санитарно-технических работ, монтаж отопительных систем и систем кондиционирования воздуха"
72,1165500776024000071,1655007760,Поставка дверных доводчиков для нужд ФГБОУ ВО Казанский ГМУ Минздрава России,"73 435,16",213001463802,55.790796,49.1408464,Казань,Образование высшее,56.1438298,47.2489782,Чебоксары,Торговля оптовая неспециализированная
73,1615503386724000007,6155033867,Закупка банно-прачечного оборудования,"550 000,00",2635094541,47.748917,40.201972,Шахты,"Деятельность по управлению и эксплуатации тюрем, исправительных колоний и других мест лишения свободы, а также по оказанию реабилитационной помощи бывшим заключенным",45.0502584,41.8999165,Ставрополь,Торговля розничная мебелью в специализированных магазинах
74,2027403310324000150,274033103,Поставка медицинских изделий(оксигенатор крови мембранный),"1 700 000,00",110204967620,54.7111861,56.0019701,Уфа,Деятельность больничных организаций,59.9391313,30.3159004,Санкт-Петербург,"Торговля оптовая техникой, оборудованием и инструментами, применяемыми в медицинских целях"
75,2594950003824000019,5949500038,"Поставка расходного материала (салфетка спиртовая) для нужд ГБУЗ ПК ""Сивинская ЦРБ","186 577,35",5904380154,58.3863483,54.3697556,Сива,Деятельность больничных организаций,58.0206285,56.2718221,Пермь,Торговля оптовая фармацевтической продукцией
76,2246300420723000019,2463004207,ЭА-№-22159/22 «ОФЛОКСАЦИН»,"121 800,00",2466189073,56.0206633,92.7659367,Красноярск,Деятельность больничных организаций,56.0115553,92.8648632,Красноярск,Торговля розничная лекарственными средствами в специализированных магазинах (аптеках)
77,2246300420722000263,2463004207,"ЭА 85/22 ""На право поставки лекарственных препаратов (АЦЕТИЛСАЛИЦИЛОВАЯ КИСЛОТА) для нужд КГБУЗ «Красноярский краевой госпиталь для ветеранов войн» на 2023 г.""","60 240,00",2466189073,56.0206633,92.7659367,Красноярск,Деятельность больничных организаций,56.0115553,92.8648632,Красноярск,Торговля розничная лекарственными средствами в специализированных магазинах (аптеках)
78,2246300420722000259,2463004207,ЭА-№-14867/22 «ИНОЗИН+НИКОТИНАМИД+РИБОФЛАВИН+ЯНТАРНАЯ КИСЛОТА»,"1 156 000,00",2466189073,56.0206633,92.7659367,Красноярск,Деятельность больничных организаций,56.0115553,92.8648632,Красноярск,Торговля розничная лекарственными средствами в специализированных магазинах (аптеках)
79,2132619621624000052,1326196216,"поставка медицинских изделий - очистителей воздуха, ввод в эксплуатацию медицинских изделий, обучение правилам эксплуатации специалистов, эксплуатирующих медицинские изделия, и специалистов, осуществляющих техническое обслуживание медицинских изделий для объекта капитального строительства: ""Ичалковский дом-интернат для престарелых и инвалидов""","4 960 790,00",1326251273,54.1727065,45.1592129,Саранск,"Деятельность органов государственной власти субъектов Российской Федерации (республик, краев, областей), кроме судебной власти, представительств исполнительных органов государственной власти субъектов Российской Федерации при Президенте Российской Федерации",54.2003241,45.178944,Саранск,"Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением"
